Context Length,Language Pair,Coefficient,Feature Name
2,mtht,0.216143342989668,yulesi
2,mtht,-0.1124702154524880,single naming
2,mtht,-0.1615232028570310,pronoun ratio
2,mtht,-0.20716516635011600,lexical density
2,mtht,-0.2116862125955380,type token ratio
2,mtht,-0.22760255506879900,50 most frequent word
2,mtht,-0.25165748660207600,average word length
2,mtht,-0.2760151671611980,pmi
2,mtht,-0.3549616718926270,mdd
2,mtht,-0.3764635423323970,mtld
2,htpe,0.16332779044401500,positional token frequency
2,htpe,0.10385698819709700,yulesi
2,htpe,-0.07768468366765120,average function words
2,htpe,-0.08492191928038490,pos perplexity
2,htpe,-0.10247546300741800,lexical density
2,htpe,-0.12611232059456300,thresold PMI
2,htpe,-0.1351203094748760,average word length
2,htpe,-0.1603723153477620,mean word rank
2,htpe,-0.16236324379478700,50 most frequent word
2,htpe,-0.1661993383323840,type token ratio
2,htpe,-0.18264800046465500,length ratio
2,htpe,-0.18280581216582300,mdd
2,htpe,-0.24506809336028800,mtld
5,mtht,0.6378859661902460,positional token frequency
5,mtht,0.3941056300185550,type token ratio
5,mtht,0.30305781339517900,average sentence length
5,mtht,0.26622905589669700,yulesi
5,mtht,0.25513711376072800,contextual function word
5,mtht,0.2401332867160080,perplexity
5,mtht,0.1631700626280980,explicit naming
5,mtht,-0.17359368927908000,mean multiple naming
5,mtht,-0.24630040317983800,average word length
5,mtht,-0.29432828060775800,passive verb ratio
5,mtht,-0.3165579025184590,single naming
5,mtht,-0.3559489676612130,length ratio
5,mtht,-0.492274337824744,mdd
5,mtht,-0.5342854353853350,pronoun ratio
5,mtht,-0.5484134454035690,50 most frequent word
5,mtht,-0.5889706027551450,lexical density
5,mtht,-0.5946690093112860,mtld
5,mtht,-1.2188844316740400,pmi
5,htpe,0.8690345172585130,positional token frequency
5,htpe,0.3711664873756280,perplexity
5,htpe,0.2744790830157360,contextual function word
5,htpe,-0.24471575307486200,single naming
5,htpe,-0.2539150732139190,mean word rank
5,htpe,-0.42029018596552,lexical density
5,htpe,-0.58526515189562,length ratio
5,htpe,-0.5933449067430970,thresold PMI
5,htpe,-0.6057709693384580,pmi
5,htpe,-0.6866100211993650,50 most frequent word
5,htpe,-0.6913969216162410,average function words
10,mtht,-0.5231929502687910,pronoun ratio
10,mtht,-0.7333997785959790,lexical density
10,mtht,-1.4822389831399400,pmi
10,htpe,0.8332859961881340,positional token frequency
10,htpe,0.7849951307221690,contextual function word
10,htpe,0.6325221722155840,average sentence length
10,htpe,0.4406180862564250,syllable ratio
10,htpe,0.22288637005545000,5 most frequent word
10,htpe,0.1973946154841800,perplexity
10,htpe,-0.007214133692750800,thresold PMI
10,htpe,-0.05014199132006970,explicit naming
10,htpe,-0.09245812147561320,type token ratio
10,htpe,-0.10620392350012300,pos perplexity
10,htpe,-0.2994084574322610,yulesi
10,htpe,-0.4014697383850770,mtld
10,htpe,-0.42102303883810400,pmi
10,htpe,-0.4305030592111260,10 most frequent word
10,htpe,-0.5194924980470740,mean multiple naming
10,htpe,-0.544129900116914,lexical density
10,htpe,-0.5445425727010840,repetition ratio
10,htpe,-0.5605738179387240,passive verb ratio
10,htpe,-0.6122183643986710,pronoun ratio
10,htpe,-0.6578940063709450,single naming
10,htpe,-0.7744017009603520,mdd
10,htpe,-0.8020327192575720,50 most frequent word
10,htpe,-0.8332829246536450,average word length
10,htpe,-0.967413565784438,mean word rank
10,htpe,-0.9745859550624750,length ratio
10,htpe,-1.1651152878497800,average function words