language_pair,C,class_weight,loss,max_iter,tol,random_state
ende,5,balanced,squared_hinge,2000,0.001,42
enfi,1000,None,hinge,100000,0.001,42
enlt,100,balanced,hinge,100000,0.001,42
enru,100,None,squared_hinge,10000,0.001,42
deen,2,balanced,squared_hinge,100000,0.001,42
fien,2,balanced,hinge,10000,0.0001,42
guen,100,balanced,squared_hinge,10000,0.001,42
kken,1000,balanced,hinge,100000,0.001,42
lten,100,balanced,hinge,2000,0.001,42
ruen,1000,balanced,squared_hinge,100000,0.001,42
zhen,5,balanced,squared_hinge,10000,0.001,42